id,amount,loan_id,repayment_date,fully_repayed_on
5286,1185,9888,24/04/2018 12:09,24/04/2018 12:09
5287,1740,10858,03/05/2018 20:29,03/05/2018 20:29
5288,1200,908,28/02/2018 12:07,28/02/2018 12:07
5289,1200,488,10/02/2018 18:00,10/02/2018 18:00
5290,1200,261,02/02/2018 0:03,02/02/2018 0:03
5291,2260,263,06/02/2018 14:38,06/02/2018 14:38
5292,1130,277,05/02/2018 21:28,05/02/2018 21:28
5293,1200,1610,01/03/2018 10:59,01/03/2018 10:59
5294,1130,7385,09/03/2018 18:12,09/03/2018 18:12
5295,1130,7467,10/03/2018 13:46,10/03/2018 13:46
5296,1130,9445,07/04/2018 19:54,07/04/2018 19:54
5297,1160,9754,11/04/2018 19:26,11/04/2018 19:26
5298,1155,9975,18/04/2018 22:56,18/04/2018 22:56
5299,1130,10423,22/04/2018 13:27,22/04/2018 13:27
5300,1130,11285,30/04/2018 23:23,30/04/2018 23:23
5301,1,275,30/01/2018 21:31,30/01/2018 21:31
5302,1199,275,07/02/2018 19:40,07/02/2018 19:40
5303,1225,9384,20/05/2018 9:15,20/05/2018 9:15
5304,90,1545,13/03/2018 17:15,13/03/2018 17:15
5305,500,281,27/02/2018 9:32,27/02/2018 9:32
5306,655,281,27/02/2018 12:27,27/02/2018 12:27
5307,1200,286,27/02/2018 8:19,27/02/2018 8:19
5308,1155,5647,07/03/2018 14:25,07/03/2018 14:25
5309,1155,282,07/02/2018 19:12,07/02/2018 19:12
5310,1155,279,02/03/2018 15:15,02/03/2018 15:15
5311,1155,288,19/03/2018 13:58,19/03/2018 13:58
5312,1130,11104,02/05/2018 17:54,02/05/2018 17:54
5313,1200,11495,26/05/2018 13:39,26/05/2018 13:39
5314,1155,296,08/02/2018 20:17,08/02/2018 20:17
5315,1000,2658,28/02/2018 22:05,28/02/2018 22:05
5316,155,2658,01/03/2018 7:23,01/03/2018 7:23
5317,1225,5887,19/05/2018 18:13,19/05/2018 18:13
5318,1800,13515,11/06/2018 20:34,11/06/2018 20:34
5319,1800,13626,25/06/2018 16:59,25/06/2018 16:59
5320,40,309,30/01/2018 16:02,30/01/2018 16:02
5321,1180,691,06/02/2018 20:02,06/02/2018 20:02
5322,1200,1722,01/03/2018 12:26,01/03/2018 12:26
5323,1225,5922,29/03/2018 17:43,29/03/2018 17:43
5324,1225,9130,01/05/2018 8:19,01/05/2018 8:19
5325,1225,910,01/03/2018 14:27,01/03/2018 14:27
5326,1200,5938,17/03/2018 12:06,17/03/2018 12:06
5327,9,9008,25/04/2018 14:53,25/04/2018 14:53
5328,0,9008,26/04/2018 13:36,26/04/2018 13:36
5329,15,9008,16/05/2018 10:30,16/05/2018 10:30
5330,2,9008,16/05/2018 10:31,16/05/2018 10:31
5331,1200,1214,07/02/2018 1:06,07/02/2018 1:06
5332,1225,2176,28/03/2018 16:30,28/03/2018 16:30
5333,1225,9017,11/05/2018 19:06,11/05/2018 19:06
5334,1160,331,04/02/2018 23:35,04/02/2018 23:35
5335,1155,2168,23/02/2018 18:55,23/02/2018 18:55
5336,1130,333,06/02/2018 10:16,06/02/2018 10:16
5337,1185,2651,26/02/2018 18:55,26/02/2018 18:55
5338,1155,1274,03/03/2018 11:58,03/03/2018 11:58
5339,1160,349,05/02/2018 20:09,05/02/2018 20:09
5340,1200,2191,28/02/2018 16:41,28/02/2018 16:41
5341,1180,11114,10/05/2018 19:56,10/05/2018 19:56
5342,1808,12627,09/06/2018 22:22,09/06/2018 22:22
5343,1770,13837,04/07/2018 18:26,04/07/2018 18:26
5344,30,729,04/02/2018 16:18,04/02/2018 16:18
5345,1200,2955,13/03/2018 13:30,13/03/2018 13:30
5346,1200,8972,18/04/2018 11:35,18/04/2018 11:35
5347,1225,10991,13/06/2018 9:30,13/06/2018 9:30
5348,1200,366,27/02/2018 15:15,27/02/2018 15:15
5349,1200,6363,28/03/2018 15:48,28/03/2018 15:48
5350,1200,9148,26/04/2018 19:59,26/04/2018 19:59
5351,1800,11453,30/05/2018 18:26,30/05/2018 18:26
5352,1800,13211,27/06/2018 18:17,27/06/2018 18:17
5353,2000,369,23/02/2018 11:15,23/02/2018 11:15
5354,400,369,23/02/2018 11:15,23/02/2018 11:15
5355,1130,790,07/02/2018 14:44,07/02/2018 14:44
5356,1155,1701,10/03/2018 15:17,10/03/2018 15:17
5357,1155,360,06/02/2018 18:57,06/02/2018 18:57
5358,3,373,31/01/2018 9:09,31/01/2018 9:09
5359,1000,373,05/02/2018 16:53,05/02/2018 16:53
5360,130,373,07/03/2018 9:32,07/03/2018 9:32
5361,1155,389,06/02/2018 17:30,06/02/2018 17:30
5362,1200,1612,23/02/2018 15:42,23/02/2018 15:42
5363,1185,6129,15/06/2018 12:40,15/06/2018 12:40
5364,1160,297,13/02/2018 8:14,13/02/2018 8:14
5365,1225,3786,13/04/2018 18:06,13/04/2018 18:06
5366,10,2133,09/02/2018 21:20,09/02/2018 21:20
5367,500,2133,02/03/2018 9:12,02/03/2018 9:12
5368,690,2133,05/03/2018 8:06,05/03/2018 8:06
5369,1200,9220,27/04/2018 20:37,27/04/2018 20:37
5370,1130,398,03/02/2018 9:11,03/02/2018 9:11
5371,2320,1273,07/02/2018 15:13,07/02/2018 15:13
5372,2260,3043,21/02/2018 12:38,21/02/2018 12:38
5373,2320,4547,08/03/2018 9:23,08/03/2018 9:23
5374,1160,396,08/02/2018 16:24,08/02/2018 16:24
5375,1130,3077,21/02/2018 21:07,21/02/2018 21:07
5376,1130,9441,05/04/2018 12:47,05/04/2018 12:47
5377,1130,9756,16/04/2018 22:47,16/04/2018 22:47
5378,10,9756,16/04/2018 22:48,16/04/2018 22:48
5379,3,9756,16/04/2018 22:49,16/04/2018 22:49
5380,12,9756,26/04/2018 20:27,26/04/2018 20:27
5381,1695,11133,03/05/2018 18:12,03/05/2018 18:12
5382,1155,871,12/03/2018 2:01,12/03/2018 2:01
5383,10,416,01/02/2018 17:08,01/02/2018 17:08
5384,1190,416,26/02/2018 9:32,26/02/2018 9:32
5385,1200,5517,17/03/2018 18:36,17/03/2018 18:36
5386,1225,9433,03/05/2018 15:25,03/05/2018 15:25
5387,50,425,31/01/2018 9:05,31/01/2018 9:05
5388,1105,425,06/02/2018 19:43,06/02/2018 19:43
5389,150,428,10/02/2018 14:51,10/02/2018 14:51
5390,1050,428,15/02/2018 15:18,15/02/2018 15:18
5391,100,432,11/03/2018 15:58,11/03/2018 15:58
5392,1055,432,11/03/2018 16:00,11/03/2018 16:00
5393,980,692,08/02/2018 7:13,08/02/2018 7:13
5394,1980,442,30/01/2018 19:34,30/01/2018 19:34
5395,10,442,31/01/2018 9:34,31/01/2018 9:34
5396,270,442,03/02/2018 22:14,03/02/2018 22:14
5397,400,1362,24/02/2018 11:32,24/02/2018 11:32
5398,500,1362,26/02/2018 11:20,26/02/2018 11:20
5399,550,1362,01/03/2018 9:28,01/03/2018 9:28
5400,950,1362,04/03/2018 10:11,04/03/2018 10:11
5401,2400,6539,17/03/2018 11:08,17/03/2018 11:08
5402,1980,8915,28/03/2018 9:16,28/03/2018 9:16
5403,420,8915,31/03/2018 12:40,31/03/2018 12:40
5404,2400,9277,24/04/2018 19:01,24/04/2018 19:01
5405,3600,10935,18/05/2018 20:01,18/05/2018 20:01
5406,500,12697,05/06/2018 19:01,05/06/2018 19:01
5407,3100,12697,14/06/2018 10:55,14/06/2018 10:55
5408,4800,13715,12/07/2018 19:07,12/07/2018 19:07
5409,1225,434,27/02/2018 19:47,27/02/2018 19:47
5410,1200,5566,11/03/2018 19:45,11/03/2018 19:45
5411,1225,7873,11/04/2018 16:07,11/04/2018 16:07
5412,1200,9957,01/05/2018 19:06,01/05/2018 19:06
5413,1800,11428,27/05/2018 17:02,27/05/2018 17:02
5414,1837,13096,25/06/2018 20:40,25/06/2018 20:40
5415,1,13096,25/06/2018 20:41,25/06/2018 20:41
5416,300,452,06/02/2018 6:46,06/02/2018 6:46
5417,900,452,11/02/2018 11:56,11/02/2018 11:56
5418,1155,464,22/02/2018 18:13,22/02/2018 18:13
5419,1130,4707,05/04/2018 0:30,05/04/2018 0:30
5420,1160,9624,18/04/2018 0:10,18/04/2018 0:10
5421,1800,10703,16/05/2018 12:43,16/05/2018 12:43
5422,1778,13364,28/06/2018 17:12,28/06/2018 17:12
5423,1160,14307,10/07/2018 14:48,10/07/2018 14:48
5424,1130,459,06/02/2018 11:55,06/02/2018 11:55
5425,1130,2602,19/02/2018 9:46,19/02/2018 9:46
5426,1155,4016,26/02/2018 19:46,26/02/2018 19:46
5427,7,6667,25/03/2018 16:59,25/03/2018 16:59
5428,1130,471,06/02/2018 12:52,06/02/2018 12:52
5429,1200,1984,09/03/2018 8:56,09/03/2018 8:56
5430,1200,7390,17/03/2018 13:09,17/03/2018 13:09
5431,1200,9380,25/04/2018 13:04,25/04/2018 13:04
5432,1800,11099,23/05/2018 19:37,23/05/2018 19:37
5433,1800,12939,19/06/2018 16:42,19/06/2018 16:42
5434,25,470,01/07/2018 22:57,01/07/2018 22:57
5435,1225,422,27/02/2018 18:18,27/02/2018 18:18
5436,1200,813,01/02/2018 10:45,01/02/2018 10:45
5437,1225,901,01/03/2018 21:42,01/03/2018 21:42
5438,1160,844,14/02/2018 21:04,14/02/2018 21:04
5439,1130,9911,17/04/2018 11:33,17/04/2018 11:33
5440,1160,11510,16/05/2018 22:27,16/05/2018 22:27
5441,1800,13202,27/06/2018 18:39,27/06/2018 18:39
5442,3,496,30/01/2018 23:51,30/01/2018 23:51
5443,1130,851,02/02/2018 23:47,02/02/2018 23:47
5444,1130,1254,06/02/2018 12:47,06/02/2018 12:47
5445,1130,508,06/02/2018 16:32,06/02/2018 16:32
5446,2450,1570,07/03/2018 10:07,07/03/2018 10:07
5447,2450,7080,09/04/2018 13:43,09/04/2018 13:43
5448,2400,9808,02/05/2018 19:49,02/05/2018 19:49
5449,3600,11506,30/05/2018 9:51,30/05/2018 9:51
5450,1130,506,06/02/2018 14:50,06/02/2018 14:50
5451,1155,511,07/02/2018 20:30,07/02/2018 20:30
5452,1130,512,03/02/2018 21:52,03/02/2018 21:52
5453,26,522,31/01/2018 18:06,31/01/2018 18:06
5454,1134,522,07/02/2018 18:25,07/02/2018 18:25
5455,130,3042,14/02/2018 20:48,14/02/2018 20:48
5456,1000,3042,14/02/2018 20:49,14/02/2018 20:49
5457,30,3240,15/02/2018 16:39,15/02/2018 16:39
5458,1100,3240,15/02/2018 16:40,15/02/2018 16:40
5459,1130,3343,16/02/2018 10:46,16/02/2018 10:46
5460,80,3521,17/02/2018 20:04,17/02/2018 20:04
5461,1100,3521,17/02/2018 21:46,17/02/2018 21:46
5462,1130,3962,19/02/2018 9:53,19/02/2018 9:53
5463,1160,4009,21/02/2018 21:09,21/02/2018 21:09
5464,200,5190,25/02/2018 23:18,25/02/2018 23:18
5465,340,5190,25/02/2018 23:18,25/02/2018 23:18
5466,288,5190,25/02/2018 23:19,25/02/2018 23:19
5467,155,5190,25/02/2018 23:19,25/02/2018 23:19
5468,10,5190,25/02/2018 23:21,25/02/2018 23:21
5469,37,5190,25/02/2018 23:22,25/02/2018 23:22
5470,50,5190,25/02/2018 23:22,25/02/2018 23:22
5471,50,5190,25/02/2018 23:23,25/02/2018 23:23
5472,130,5288,01/03/2018 17:09,01/03/2018 17:09
5473,479,5288,01/03/2018 17:09,01/03/2018 17:09
5474,250,5288,01/03/2018 17:10,01/03/2018 17:10
5475,150,5288,01/03/2018 17:12,01/03/2018 17:12
5476,121,5288,01/03/2018 17:12,01/03/2018 17:12
5477,1130,6467,06/03/2018 23:59,06/03/2018 23:59
5478,1130,9568,05/04/2018 18:32,05/04/2018 18:32
5479,1130,9817,11/04/2018 19:10,11/04/2018 19:10
5480,980,10045,04/05/2018 15:57,04/05/2018 15:57
5481,220,10045,04/05/2018 16:24,04/05/2018 16:24
5482,1695,11687,10/05/2018 16:57,10/05/2018 16:57
5483,2260,12615,23/05/2018 19:43,23/05/2018 19:43
5484,2320,12940,06/06/2018 22:33,06/06/2018 22:33
5485,2260,13583,17/06/2018 23:28,17/06/2018 23:28
5486,2320,13878,05/07/2018 20:55,05/07/2018 20:55
5487,1130,520,02/02/2018 21:12,02/02/2018 21:12
5488,900,529,06/02/2018 9:39,06/02/2018 9:39
5489,235,529,07/02/2018 0:25,07/02/2018 0:25
5490,1,529,07/02/2018 0:27,07/02/2018 0:27
5491,1000,1603,09/02/2018 18:47,09/02/2018 18:47
5492,130,1603,11/02/2018 2:09,11/02/2018 2:09
5493,1200,530,28/02/2018 17:05,28/02/2018 17:05
5494,1200,6025,07/03/2018 16:34,07/03/2018 16:34
5495,980,536,31/01/2018 23:16,31/01/2018 23:16
5496,2,536,31/01/2018 23:17,31/01/2018 23:17
5497,148,536,06/02/2018 9:14,06/02/2018 9:14
5498,1225,538,28/02/2018 13:42,28/02/2018 13:42
5499,1225,6139,30/03/2018 17:48,30/03/2018 17:48
5500,1200,9212,01/04/2018 16:28,01/04/2018 16:28
5501,1225,9393,01/05/2018 9:01,01/05/2018 9:01
5502,1838,11423,31/05/2018 21:12,31/05/2018 21:12
5503,1800,13265,29/06/2018 16:34,29/06/2018 16:34
5504,600,304,06/02/2018 21:03,06/02/2018 21:03
5505,530,304,07/02/2018 17:12,07/02/2018 17:12
5506,1700,1659,06/03/2018 15:59,06/03/2018 15:59
5507,1947,1659,14/03/2018 17:35,14/03/2018 17:35
5508,1,1659,14/03/2018 17:36,14/03/2018 17:36
5509,1225,567,28/02/2018 23:43,28/02/2018 23:43
5510,1180,8458,02/04/2018 19:46,02/04/2018 19:46
5511,1200,10047,06/05/2018 17:31,06/05/2018 17:31
5512,1740,12849,01/06/2018 3:36,01/06/2018 3:36
5513,1695,13746,20/06/2018 15:23,20/06/2018 15:23
5514,1740,13870,30/06/2018 16:40,30/06/2018 16:40
5515,1155,572,22/02/2018 20:05,22/02/2018 20:05
5516,80,5057,06/03/2018 0:29,06/03/2018 0:29
5517,50,5057,24/04/2018 1:14,24/04/2018 1:14
5518,1095,5057,06/07/2018 19:28,06/07/2018 19:28
5519,1130,578,06/02/2018 12:36,06/02/2018 12:36
5520,1205,2197,03/03/2018 12:06,03/03/2018 12:06
5521,1200,6769,02/04/2018 9:12,02/04/2018 9:12
5522,8,588,17/03/2018 12:19,17/03/2018 12:19
5523,4,588,17/03/2018 12:20,17/03/2018 12:20
5524,900,593,06/03/2018 8:47,06/03/2018 8:47
5525,80,593,03/05/2018 13:51,03/05/2018 13:51
5526,1130,967,08/02/2018 7:05,08/02/2018 7:05
5527,2400,597,02/02/2018 19:30,02/02/2018 19:30
5528,2410,2149,16/03/2018 14:23,16/03/2018 14:23
5529,391,8702,03/06/2018 13:24,03/06/2018 13:24
5530,700,599,31/01/2018 14:12,31/01/2018 14:12
5531,60,599,02/02/2018 9:37,02/02/2018 9:37
5532,370,599,02/02/2018 13:16,02/02/2018 13:16
5533,1200,1565,01/03/2018 18:55,01/03/2018 18:55
5534,1200,6008,21/03/2018 19:08,21/03/2018 19:08
5535,1200,9794,28/04/2018 18:28,28/04/2018 18:28
5536,1800,11400,29/05/2018 20:30,29/05/2018 20:30
5537,1200,602,08/02/2018 22:27,08/02/2018 22:27
5538,1155,1985,03/03/2018 11:59,03/03/2018 11:59
5539,1800,2154,02/03/2018 9:43,02/03/2018 9:43
5540,2450,6558,06/04/2018 12:24,06/04/2018 12:24
5541,2400,9672,03/05/2018 21:05,03/05/2018 21:05
5542,3600,11590,08/06/2018 0:37,08/06/2018 0:37
5543,75,11590,09/06/2018 21:47,09/06/2018 21:47
5544,3000,13642,10/07/2018 15:02,10/07/2018 15:02
5545,1155,610,07/03/2018 22:07,07/03/2018 22:07
5546,1,612,31/01/2018 17:45,31/01/2018 17:45
5547,20,612,31/01/2018 23:40,31/01/2018 23:40
5548,2400,616,22/02/2018 19:17,22/02/2018 19:17
5549,2400,992,28/02/2018 10:56,28/02/2018 10:56
5550,2450,5670,08/05/2018 20:15,08/05/2018 20:15
5551,1130,637,07/02/2018 9:21,07/02/2018 9:21
5552,1225,641,28/02/2018 19:52,28/02/2018 19:52
5553,1130,645,07/02/2018 17:52,07/02/2018 17:52
5554,25,645,07/02/2018 17:53,07/02/2018 17:53
5555,2400,1662,06/03/2018 10:08,06/03/2018 10:08
5556,96,646,15/02/2018 18:16,15/02/2018 18:16
5557,1059,646,27/02/2018 15:57,27/02/2018 15:57
5558,1130,649,04/02/2018 12:56,04/02/2018 12:56
5559,1200,3767,16/03/2018 22:27,16/03/2018 22:27
5560,1155,13862,14/07/2018 11:31,14/07/2018 11:31
5561,1225,666,01/03/2018 19:18,01/03/2018 19:18
5562,1200,6445,18/03/2018 8:31,18/03/2018 8:31
5563,100,1045,02/02/2018 22:42,02/02/2018 22:42
5564,1125,1045,04/03/2018 20:12,04/03/2018 20:12
5565,1200,676,03/02/2018 19:25,03/02/2018 19:25
5566,1160,1340,08/02/2018 18:06,08/02/2018 18:06
5567,1200,1945,12/02/2018 2:31,12/02/2018 2:31
5568,40,2564,27/03/2018 23:07,27/03/2018 23:07
5569,2,2564,21/04/2018 0:06,21/04/2018 0:06
5570,1183,2564,28/05/2018 20:45,28/05/2018 20:45
5571,1155,678,08/02/2018 18:16,08/02/2018 18:16
5572,1200,1950,09/02/2018 18:24,09/02/2018 18:24
5573,13,2342,26/04/2018 20:36,26/04/2018 20:36
5574,1212,2342,16/05/2018 22:21,16/05/2018 22:21
5575,1225,686,02/03/2018 16:30,02/03/2018 16:30
5576,1225,6195,02/04/2018 17:40,02/04/2018 17:40
5577,1200,9459,26/04/2018 16:57,26/04/2018 16:57
5578,3600,688,16/02/2018 16:19,16/02/2018 16:19
5579,3600,4074,17/03/2018 13:53,17/03/2018 13:53
5580,3675,8829,09/05/2018 17:55,09/05/2018 17:55
5581,5400,12377,07/06/2018 11:56,07/06/2018 11:56
5582,5400,13465,04/07/2018 18:23,04/07/2018 18:23
5583,1200,689,07/02/2018 21:59,07/02/2018 21:59
5584,1185,8931,13/04/2018 13:18,13/04/2018 13:18
5585,2400,502,17/02/2018 8:27,17/02/2018 8:27
5586,2400,3699,15/03/2018 21:10,15/03/2018 21:10
5587,2400,9350,28/04/2018 16:01,28/04/2018 16:01
5588,1000,698,31/01/2018 19:09,31/01/2018 19:09
5589,130,698,02/02/2018 21:02,02/02/2018 21:02
5590,1200,1280,12/02/2018 11:36,12/02/2018 11:36
5591,1185,704,14/02/2018 17:42,14/02/2018 17:42
5592,1180,3046,22/02/2018 15:10,22/02/2018 15:10
5593,200,708,16/02/2018 12:48,16/02/2018 12:48
5594,1000,708,27/02/2018 16:50,27/02/2018 16:50
5595,300,5801,03/03/2018 12:24,03/03/2018 12:24
5596,100,5801,07/03/2018 9:54,07/03/2018 9:54
5597,800,5801,16/03/2018 17:00,16/03/2018 17:00
5598,1155,8803,18/04/2018 10:31,18/04/2018 10:31
5599,100,10989,08/05/2018 22:30,08/05/2018 22:30
5600,100,10989,10/05/2018 9:57,10/05/2018 9:57
5601,100,10989,14/05/2018 17:21,14/05/2018 17:21
5602,200,10989,22/05/2018 13:48,22/05/2018 13:48
5603,1332,10989,06/06/2018 17:34,06/06/2018 17:34
5604,1,10989,06/06/2018 17:36,06/06/2018 17:36
5605,1200,13496,20/06/2018 9:09,20/06/2018 9:09
5606,300,13863,05/07/2018 9:46,05/07/2018 9:46
5607,200,13863,15/07/2018 18:42,15/07/2018 18:42
5608,200,13863,16/07/2018 16:05,16/07/2018 16:05
5609,250,13863,17/07/2018 17:24,17/07/2018 17:24
5610,250,13863,18/07/2018 15:23,18/07/2018 15:23
5611,1200,711,25/02/2018 12:26,25/02/2018 12:26
5612,1225,5661,07/04/2018 22:30,07/04/2018 22:30
5613,1225,10846,12/06/2018 10:58,12/06/2018 10:58
5614,2400,718,28/02/2018 16:45,28/02/2018 16:45
5615,1155,714,28/02/2018 11:54,28/02/2018 11:54
5616,219,715,02/03/2018 21:12,02/03/2018 21:12
5617,1006,715,02/03/2018 21:13,02/03/2018 21:13
5618,1200,6282,15/03/2018 22:58,15/03/2018 22:58
5619,1130,8617,21/03/2018 10:22,21/03/2018 10:22
5620,1155,9005,06/04/2018 13:02,06/04/2018 13:02
5621,1200,9680,21/04/2018 14:32,21/04/2018 14:32
5622,500,10603,24/04/2018 19:35,24/04/2018 19:35
5623,100,10603,25/04/2018 21:39,25/04/2018 21:39
5624,458,10603,25/04/2018 21:40,25/04/2018 21:40
5625,700,10603,26/04/2018 20:01,26/04/2018 20:01
5626,42,10603,26/04/2018 20:03,26/04/2018 20:03
5627,500,11129,25/05/2018 8:57,25/05/2018 8:57
5628,94,11129,25/05/2018 8:57,25/05/2018 8:57
5629,1244,11129,26/05/2018 9:09,26/05/2018 9:09
5630,2400,13041,23/06/2018 10:29,23/06/2018 10:29
5631,2260,13928,30/06/2018 20:59,30/06/2018 20:59
5632,1200,720,28/02/2018 9:02,28/02/2018 9:02
5633,980,721,31/01/2018 17:59,31/01/2018 17:59
5634,150,721,31/01/2018 22:05,31/01/2018 22:05
5635,400,725,31/01/2018 18:23,31/01/2018 18:23
5636,80,725,31/01/2018 18:40,31/01/2018 18:40
5637,720,725,13/02/2018 22:44,13/02/2018 22:44
5638,90,4059,16/03/2018 3:11,16/03/2018 3:11
5639,50,4059,16/04/2018 12:24,16/04/2018 12:24
5640,5,4059,25/04/2018 22:24,25/04/2018 22:24
5641,800,4059,27/04/2018 22:37,27/04/2018 22:37
5642,1200,730,03/02/2018 21:56,03/02/2018 21:56
5643,1200,732,16/03/2018 14:54,16/03/2018 14:54
5644,25,732,16/03/2018 14:55,16/03/2018 14:55
5645,500,12410,09/07/2018 22:30,09/07/2018 22:30
5646,1130,736,07/02/2018 16:16,07/02/2018 16:16
5647,880,737,06/03/2018 11:21,06/03/2018 11:21
5648,275,737,09/03/2018 12:04,09/03/2018 12:04
5649,1180,11516,22/05/2018 9:41,22/05/2018 9:41
5650,1160,12920,05/06/2018 13:18,05/06/2018 13:18
5651,1185,1562,29/03/2018 17:58,29/03/2018 17:58
5652,1155,757,07/02/2018 19:37,07/02/2018 19:37
5653,1185,1714,24/02/2018 12:43,24/02/2018 12:43
5654,1155,5577,07/03/2018 20:40,07/03/2018 20:40
5655,1160,7394,16/03/2018 20:15,16/03/2018 20:15
5656,1130,9328,07/04/2018 16:20,07/04/2018 16:20
5657,1185,9813,25/04/2018 17:26,25/04/2018 17:26
5658,1155,767,25/02/2018 11:35,25/02/2018 11:35
5659,2450,771,10/06/2018 15:50,10/06/2018 15:50
5660,89,772,02/02/2018 16:05,02/02/2018 16:05
5661,300,772,28/02/2018 17:57,28/02/2018 17:57
5662,1155,774,06/03/2018 17:56,06/03/2018 17:56
5663,2400,775,28/02/2018 20:19,28/02/2018 20:19
